Date,Argentina,Belgium,Brazil,Norway,Panama,Spain,Sweden,Thailand
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0
2020-03-11,1.0,3.0,0.0,0.0,1.0,54.0,1.0,1.0
2020-03-12,1.0,3.0,0.0,0.0,1.0,55.0,1.0,1.0
2020-03-13,2.0,3.0,0.0,0.0,1.0,133.0,1.0,1.0
2020-03-14,2.0,4.0,0.0,3.0,1.0,195.0,2.0,1.0
2020-03-15,2.0,4.0,0.0,3.0,1.0,289.0,3.0,1.0
2020-03-16,2.0,5.0,0.0,3.0,1.0,342.0,6.0,1.0
2020-03-17,2.0,10.0,1.0,3.0,1.0,533.0,7.0,1.0
2020-03-18,2.0,14.0,3.0,6.0,1.0,623.0,10.0,1.0
2020-03-19,3.0,21.0,6.0,7.0,1.0,830.0,11.0,1.0
2020-03-20,3.0,37.0,11.0,7.0,1.0,1043.0,16.0,1.0
2020-03-21,4.0,67.0,15.0,7.0,1.0,1375.0,20.0,1.0
2020-03-22,4.0,75.0,25.0,7.0,3.0,1772.0,21.0,1.0
2020-03-23,5.0,96.0,34.0,9.0,4.0,2321.0,30.0,2.0
2020-03-24,6.0,122.0,46.0,12.0,6.0,2991.0,40.0,4.0
