Date,Argentina,Belgium,Brazil,Norway,Panama,Spain,Sweden,Thailand
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0
2020-02-04,0.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0
2020-02-05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0
2020-02-06,0.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0
2020-02-07,0.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0
2020-02-08,0.0,1.0,0.0,0.0,0.0,1.0,1.0,32.0
2020-02-09,0.0,1.0,0.0,0.0,0.0,2.0,1.0,32.0
2020-02-10,0.0,1.0,0.0,0.0,0.0,2.0,1.0,32.0
2020-02-11,0.0,1.0,0.0,0.0,0.0,2.0,1.0,33.0
2020-02-12,0.0,1.0,0.0,0.0,0.0,2.0,1.0,33.0
2020-02-13,0.0,1.0,0.0,0.0,0.0,2.0,1.0,33.0
2020-02-14,0.0,1.0,0.0,0.0,0.0,2.0,1.0,33.0
2020-02-15,0.0,1.0,0.0,0.0,0.0,2.0,1.0,33.0
2020-02-16,0.0,1.0,0.0,0.0,0.0,2.0,1.0,34.0
2020-02-17,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-18,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-19,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-20,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-21,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-22,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-23,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-24,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
2020-02-25,0.0,1.0,0.0,0.0,0.0,6.0,1.0,37.0
2020-02-26,0.0,1.0,1.0,1.0,0.0,13.0,2.0,40.0
2020-02-27,0.0,1.0,1.0,1.0,0.0,15.0,7.0,40.0
2020-02-28,0.0,1.0,1.0,6.0,0.0,32.0,7.0,41.0
2020-02-29,0.0,1.0,2.0,15.0,0.0,45.0,12.0,42.0
2020-03-01,0.0,2.0,2.0,19.0,0.0,84.0,14.0,42.0
2020-03-02,0.0,8.0,2.0,25.0,0.0,120.0,15.0,43.0
2020-03-03,1.0,13.0,2.0,32.0,0.0,165.0,21.0,43.0
2020-03-04,1.0,23.0,4.0,56.0,0.0,222.0,35.0,43.0
2020-03-05,1.0,50.0,4.0,87.0,0.0,259.0,94.0,47.0
2020-03-06,2.0,109.0,13.0,108.0,0.0,400.0,101.0,48.0
2020-03-07,8.0,169.0,13.0,147.0,0.0,500.0,161.0,50.0
2020-03-08,12.0,200.0,20.0,176.0,0.0,673.0,203.0,50.0
2020-03-09,12.0,239.0,25.0,205.0,0.0,1073.0,248.0,50.0
2020-03-10,17.0,267.0,31.0,400.0,1.0,1695.0,355.0,53.0
2020-03-11,19.0,314.0,38.0,598.0,8.0,2277.0,500.0,59.0
2020-03-12,19.0,314.0,52.0,702.0,11.0,2277.0,599.0,70.0
2020-03-13,31.0,559.0,151.0,996.0,27.0,5232.0,814.0,75.0
2020-03-14,34.0,689.0,151.0,1090.0,36.0,6391.0,961.0,82.0
2020-03-15,45.0,886.0,162.0,1221.0,43.0,7798.0,1022.0,114.0
2020-03-16,56.0,1058.0,200.0,1333.0,55.0,9942.0,1103.0,147.0
2020-03-17,68.0,1243.0,321.0,1463.0,69.0,11748.0,1190.0,177.0
2020-03-18,79.0,1486.0,372.0,1550.0,86.0,13910.0,1279.0,212.0
2020-03-19,97.0,1795.0,621.0,1746.0,109.0,17963.0,1439.0,272.0
2020-03-20,128.0,2257.0,793.0,1914.0,137.0,20410.0,1639.0,322.0
